,created,text,fav_count,retw_count,source,index
0,2021-12-03 16:02:03,Il Papa: 'I lager del XX secolo? Ci sono anche oggi per i migranti' #ANSA https://t.co/wj4YebIu5P,65,8,agenzia_ansa,0
1,2021-12-03 10:56:05,"#MED2021, Draghi: ""Sui migranti serve più coinvolgimento dei Paesi europei"". @ItalyMFA #ANSA https://t.co/IGDjQYxUi5",14,6,agenzia_ansa,0
2,2021-12-03 08:54:30,"Draghi: in tema di migranti l'obiettivo è ""proteggere i più deboli con cordoni umanitari dai paesi più vulnerabili,… https://t.co/d5BGvEoL4l",7,1,agenzia_ansa,0
3,2021-12-03 08:48:43,Draghi: 'Sui migranti serve più coinvolgimento dei Paesi europei'. @ItalyMFA  #MED2021 #ANSA,3,0,agenzia_ansa,0
4,2021-12-03 12:51:14,50 #migranti saranno trasferiti da #Cipro in Italia a spese della Santa Sede. Domani #PapaFrancesco  andrà in Greci… https://t.co/wIgaiZ3tvz,19,7,rainews,0
5,2021-12-03 09:15:53,"#Migranti, Draghi: ""Serve più coinvolgimento #Ue. Flussi legali? Risorsa"". https://t.co/fNGGTEjCc7",3,0,adnkronos,0
6,2021-12-03 16:26:38,Il Papa ai migranti a Cipro: «Il filo spinato è odio. Abituarsi è una malattia grave» https://t.co/Kkx3UujO8R,15,5,corriere,0
7,2021-12-03 16:19:45,Il Papa ai migranti a Cipro: «Il filo spinato è odio. Abituarsi è una malattia grave» https://t.co/xm1umuHrrF https://t.co/owCInsMXqs,44,8,corriere,0
8,2021-12-01 07:00:31,"Napoli. Migranti, lanterne verde di solidarietà nel presepe di San Gregorio Armeno https://t.co/4SX6qT3eD8",101,26,avvenire_nei,0
9,2021-12-01 17:04:29,"I migranti indiani diventati CEO di Big Tech
https://t.co/r8t8Ozi83u",14,1,ilpost,0
10,2021-12-01 08:14:40,"Il giornalista americano imprigionato in Libia mentre indagava sui centri per migranti
https://t.co/Wk0nYqlxvU",30,5,ilpost,0
11,2021-12-03 16:16:14,"Cipro, Papa Francesco: i lager nel XX secolo? Ci sono anche oggi, sono per i migranti https://t.co/Wy9jfHFMOS",13,3,lastampa,-1
12,2021-12-03 09:49:05,"I gol del milanista Messias quando giocava nel Balon Mundial, il Mondiale per migranti di Torino https://t.co/Wob0YzRJXr",0,0,lastampa,-1
13,2021-12-03 09:19:34,"Draghi: “I flussi regolari di migranti sono una risorsa. Non possiamo fare da soli, Ue agisca” https://t.co/JSpnvnjx8m",5,2,lastampa,-1
14,2021-12-03 09:14:03,"Draghi: “I flussi regolari di migranti sono una risorsa. Non possiamo fare da soli, Ue agisca” https://t.co/kae8zYmjO1",28,9,lastampa,-1
15,2021-12-03 08:31:37,"#migranti, Draghi: «Arrivi 6 volte più numerosi dal 2019, Italia non può fare da sola» https://t.co/CbWRrVDMlp",6,2,ilmessaggeroit,-1
16,2021-12-02 07:06:22,Il difficile viaggio del Papa a Cipro e in Grecia: prenderà di petto la crisi dei migranti e i valori dell'Europa https://t.co/MJbr1AxLls,0,0,ilmessaggeroit,-1
17,2021-12-02 08:17:16,Il fumettista difende l’attivista che salvò i migranti. Era con lui quando è stato portato via per l'estradizione i… https://t.co/hhiaQ5PKAV,39,13,fattoquotidiano,-1
18,2021-12-03 17:17:34,"Papa Francesco a Cipro: ""I lager ci sono anche oggi per i nostri migranti"" [dal nostro inviato Paolo Rodari] https://t.co/OpyStS3Q0o",22,3,repubblica,-1
19,2021-12-02 18:11:35,"RT @eziomauro: Papa Francesco a Cipro e in Grecia per dare un segnale su migranti ed Europa ""cristiana"" https://t.co/ufMikrkRDv via @repubb…",0,1,repubblica,-1
20,2021-12-03 09:54:41,"Stati Uniti e Messico riattivano un programma sui migranti dell’ex presidente Donald Trump, nuove sanzioni internaz… https://t.co/lqzIb2WDSX",3,1,internazionale,-1
21,2021-12-03 08:51:44,"[VIDEO] ""Sulla crisi dei migranti serve più coinvolgimento Ue"", dice Draghi al Rome MED. "" Da inizio anno 63mila ar… https://t.co/1bhUV1ac6m",3,1,ilfoglio_it,1
22,2021-12-03 08:51:58,"#migranti, Draghi: «Arrivi 6 volte più numerosi dal 2019, Italia non può fare da sola» https://t.co/5CSD0Vxz64",0,0,gazzettino,1
