,created,text,fav_count,retw_count,source,index
0,2021-11-28 12:48:15,"La Svizzera favorevole al Green pass, vince il sì al referendum. Secondo le proiezioni il 63% ha votato a favore de… https://t.co/iU17hJEqwO",400,82,agenzia_ansa,0
1,2021-11-29 08:45:45,Stretta sui controlli determinata dal decreto che introduce il #GreenPassrafforzato:  questa mattina il ministro La… https://t.co/98lz6Qog3I,8,3,rainews,0
2,2021-11-28 16:20:00,"Green Pass, Lamorgese: ""Carenze di organico, controlli a campione""  #Greenpass https://t.co/SfNMFU7wxy https://t.co/ZJVIAwGYZr",16,10,mediasettgcom24,0
3,2021-11-28 12:26:00,"Green pass, Svizzera favorevole: al referendum vince il ""Sì""  #svizzera https://t.co/B1prANB1HH https://t.co/NBBiErYobK",56,6,mediasettgcom24,0
4,2021-11-28 07:02:27,"Super Green pass, i colori e le nuove regole  #SuperGreenpass https://t.co/PPWr3RCBfA https://t.co/dasHKAlqDX",46,10,mediasettgcom24,0
5,2021-11-27 20:08:39,"No Green pass, la protesta si sgonfia: flop a Roma, un centinaio in Duomo a Milano | ""Resiste"" Torino  #NoGreenpass… https://t.co/hx9BMq12SG",132,27,mediasettgcom24,0
6,2021-11-27 16:15:02,"Variante #Omicron, medico #NoGreenPass: ""Virus è mutato e uccide"". https://t.co/eeivExWpdl",19,11,adnkronos,0
7,2021-11-27 08:33:26,Green pass falsi ma funzionanti venduti a 100 euro su Telegram: perquisizioni in tutta Italia https://t.co/9kk7vYjOEa,7,2,mattinodinapoli,0
8,2021-11-29 09:10:26,"Il governo deve capire come controllare il Green Pass a milioni di persone
https://t.co/p1RLE86Y7b",15,3,ilpost,0
9,2021-11-28 13:58:01,"Un referendum in Svizzera ha confermato la legge che istituisce il Green Pass
https://t.co/JkZjfYA6bi",114,6,ilpost,0
10,2021-11-28 08:51:15,"In Svizzera si vota sul Green Pass
https://t.co/vrLAvvl6of",17,1,ilpost,0
11,2021-11-29 22:46:03,"Multe fino a 1000 euro per chi sale sul bus senza Green Pass e transenne nei luoghi affollati, scatta l’operazione… https://t.co/eRhVEy8wjd",47,7,lastampa,-1
12,2021-11-29 19:52:07,La vicequestore No-Pass Schilirò positiva al Covid. “Appena guarita riprendo la mia battaglia” https://t.co/OSRXkVbshV,7,2,lastampa,-1
13,2021-11-29 17:17:11,"Green Pass, la ministra Lamorgese incontra i prefetti: fermezza e maggiori controlli nei trasporti pubblici https://t.co/AnBBxrecoz",16,1,lastampa,-1
14,2021-11-29 17:17:06,"Green Pass, la ministra Lamorgese incontra i prefetti: fermezza e maggiori controlli nei trasporti pubblici https://t.co/Ec15vfb7M2",2,0,lastampa,-1
15,2021-11-29 21:35:45,"Green pass, più agenti per i controlli. Uffici, strade, bus, metro e ristoranti: le regole https://t.co/400Zfnc1t8",4,1,ilmessaggeroit,-1
16,2021-11-29 19:54:20,"Green pass, a Roma agenti per i controlli su bus e metro: dal 6 dicembre verifiche dei passeggeri in entrata e usci… https://t.co/nGwk2HtnhU",19,8,ilmessaggeroit,-1
