,created,text,fav_count,retw_count,source,index
0,2021-11-20 17:53:54,"A Roma in tremila al Circo Massimo al sit-in contro il Green pass. Dal palco si urla: ""Questa piazza è tricolore, n… https://t.co/MB5dbhaBI9",34,9,agenzia_ansa,0
1,2021-11-20 15:56:12,Aperti dalle Procure di Roma e Milano due fascicoli sulla diffusione di Green pass online. Il primo è inerente all'… https://t.co/ymADW7mXHf,9,3,agenzia_ansa,0
2,2021-11-20 15:08:51,"Il Garante della Privacy avvia un'indagine sulle
migliaia di Green pass, apparentemente autentici, disponibili on l… https://t.co/MPdauVZBwU",23,9,agenzia_ansa,0
3,2021-11-20 13:16:47,"""Rafforzare il Green pass - sostiene Brunetta - è la scelta che si sta facendo strada nel Governo Draghi, che non v… https://t.co/Jrle8R2CF9",31,8,agenzia_ansa,0
4,2021-11-20 12:59:51,"FLASH | Brunetta: ""super Green pass molto probabilmente a dicembre"". #ANSA",113,23,agenzia_ansa,0
5,2021-11-20 07:37:16,"Dai lockdown ai Green pass, così l'Europa richiude. Restrizioni soprattutto per i no vax. Le misure Paese per Paese… https://t.co/BogMUlMv7l",66,27,agenzia_ansa,0
6,2021-11-18 15:42:25,"Covid, Regioni in pressing sul Green pass. Costa: Nessuna dovrebbe andare in giallo'. Il sottosegretario alla Salut… https://t.co/8VOhUT09Ig",9,1,agenzia_ansa,0
7,2021-11-18 12:44:04,Toti: 'Ho chiesto un incontro al Governo per nuovo Green pass. Colori giallo-arancione-rosso valgano solo per i non vaccinati'. #ANSA,68,9,agenzia_ansa,0
8,2021-11-18 11:23:05,La deputata No Vax Cunial può entrare alla Camera senza il Green pass. Accolta la sua richiesta di sospendere la de… https://t.co/pVTs69W2k6,123,37,agenzia_ansa,0
9,2021-11-18 10:11:02,"Green pass, quello che i test rapidi non vedono. Con una sensibilità del 30% sono poco affidabili. #ANSA 
https://t.co/3X7Wvu6XPc",112,39,agenzia_ansa,0
10,2021-11-18 09:26:18,"Covid, Regioni in pressing sul Green pass. Sileri: 'Valutare lockdown per non vaccinati in zone arancioni'. #ANSA 
https://t.co/x2iITutAaY",113,29,agenzia_ansa,0
11,2021-11-17 19:18:19,"Green pass, cresce il fronte del rigore e di misure più severe. Regioni: non penalizzare i no vax, ma premiare i va… https://t.co/Z3RecjkiaK",103,17,agenzia_ansa,0
12,2021-11-18 13:06:51,"Potrà entrare alla Camera per partecipare ai lavori parlamentari senza esibire il Green pass #Cunial #Greenpass 

https://t.co/A8ZnkQvVAa",16,8,rainews,0
13,2021-11-20 07:30:00,"Covid, Brunetta: serve super Green pass con restrizioni per no vax   #greenpass https://t.co/flLjaCorf8 https://t.co/oOADyiWqps",46,9,mediasettgcom24,0
14,2021-11-19 20:12:01,"Covid, Locatelli: ""Considerare obbligo vaccinale per alcune categorie"" | Verso il ""super Green pass"" da dicembre… https://t.co/BwWv26LQqk",30,2,mediasettgcom24,0
15,2021-11-19 17:29:55,"Dai lockdown ai Green pass, l'Europa richiude: ecco le regole nei singoli Paesi  #Europa https://t.co/xDppi1F98j https://t.co/7vpaHRNwGQ",29,9,mediasettgcom24,0
16,2021-11-19 02:39:03,"Roma, dalla colazione alla cena: il Green pass non è richiesto  #ZonaBianca https://t.co/mwgqz6C5rp https://t.co/2tPKmvwlKn",9,1,mediasettgcom24,0
17,2021-11-18 18:55:01,"Green pass, Di Maio: ""Il lockdown per i no vax non è sul tavolo""  #Greenpass https://t.co/CzFQtPSZyF https://t.co/88ZdhrHiVS",17,4,mediasettgcom24,0
18,2021-11-18 15:54:01,"Covid, rianimatori: senza Green pass e terze dosi situazione drammatica  https://t.co/UZbzEkg0SB https://t.co/2u8IXSLDOU",48,19,mediasettgcom24,0
19,2021-11-18 13:23:30,"La deputata no vax Sara Cunial potrà accedere alla Camera senza Green pass, accolto il suo ricorso… https://t.co/LItdR8hHRm",97,30,mediasettgcom24,0
20,2021-11-18 11:52:00,"Covid, Germania: primo sì a Green pass per lavoro e trasporti pubblici  #Germania https://t.co/2zvwZXisbR https://t.co/zNj8ITucvP",14,4,mediasettgcom24,0
21,2021-11-20 16:30:03,"#NoGreenPass, in 3mila al Circo Massimo a #Roma. https://t.co/qrGCJZNnY1",8,3,adnkronos,0
22,2021-11-20 11:50:01,"Green pass rafforzato, #Brunetta: ""Scelta migliore"". #Greenpass
 https://t.co/FQDM4DS1gV",3,1,adnkronos,0
23,2021-11-20 07:21:44,In Italia oltre 10mila contagi in 24 ore. Durata Green pass 9 mesi e terza dose ora: le ipotesi sul tavolo. #covid https://t.co/7olfwpqtLq,10,3,adnkronos,0
24,2021-11-18 09:00:06,"#Novax e #noGreen pass attivi su #Telegram, 29 perquisizioni. https://t.co/l05gYfnsHl",6,1,adnkronos,0
25,2021-11-18 07:15:15,"#Covid, Regioni spingono per Green pass rafforzato: oggi l'incontro col Governo.https://t.co/5MoVfZvtrH",8,3,adnkronos,0
26,2021-11-17 22:54:19,"Green pass, ok Parlamento a decreto lavoro: le regole. #covid https://t.co/XsQqwcWpNY",4,0,adnkronos,0
27,2021-11-17 18:45:02,"Green Pass, #Letta: ""D'accordo con la linea del rigore dei governatori"". #covid https://t.co/ipTRmlQCUm",24,3,adnkronos,0
28,2021-11-20 18:18:04,"No Green Pass, tensione a Milano con la polizia. In quattromila a Roma: “Basta dittatura”. E evocano le “SS” naziste https://t.co/FNKwOUp5qN",7,2,lastampa,-1
29,2021-11-20 15:53:05,"Green Pass falso, si dimette l’allenatore del Werder Brema https://t.co/ftU35YOo4y",11,4,lastampa,-1
30,2021-11-20 15:44:04,No Green Pass: in 3.000 al sit-in di Roma senza mascherine https://t.co/RNgzwi01pN,7,4,lastampa,-1
31,2021-11-20 15:09:33,"Green Pass falsi on line, il Garante della Privacy avvia un’indagine https://t.co/T6F7sY0u4H",1,1,lastampa,-1
32,2021-11-19 09:43:07,"Green Pass, la denuncia: “Online oltre 1.500 documenti falsi a portata di clic” https://t.co/n3ZNdSeNz7",0,2,lastampa,-1
33,2021-11-19 09:28:15,"RT @jacopo_iacoboni: La strana storia di Sara Cunial, tra No Green Pass e Italygate. Ora i questori della Camera la bloccano: può entrare s…",0,41,lastampa,-1
34,2021-11-18 18:16:07,La deputata No Vax Sara Cunial potrà entrare alla Camera senza Green Pass https://t.co/J0UeyUXBIx,8,2,lastampa,-1
35,2021-11-20 17:53:02,"Quarta ondata, Pregliasco: «Lockdown? Politica faccia scelte forti e veloci, sì Green pass 2G» https://t.co/oXnhHxCFBD",8,3,ilmessaggeroit,-1
36,2021-11-20 16:40:32,"No Green pass a Milano, la diretta. Tensioni con la polizia, corteo verso Duomo https://t.co/6orSxHzhYl",6,1,ilmessaggeroit,-1
37,2021-11-20 12:42:37,Brunetta: «Super Green pass a dicembre per premiare i vaccinati. Stato di emergenza? Ho chiesto di superarlo» https://t.co/YoqGrLgyku,4,1,ilmessaggeroit,-1
38,2021-11-20 10:50:07,"Super Green pass, cos'è e come funziona: bar e ristoranti solo per vaccinati. Il modello 2G di Austria e Germania https://t.co/0CTsASsrkg",7,5,ilmessaggeroit,-1
39,2021-11-20 09:44:36,"Quarta ondata, dai lockdown al Green pass: le nuove restrizioni in tutta Europa (non solo in Austria e Germania)  https://t.co/GDekB75a4V",5,1,ilmessaggeroit,-1
40,2021-11-19 20:01:18,"Green pass nuovo a dicembre, ecco come cambierà (con l'ipotesi del doppio binario) https://t.co/eQu4BG5FgE",0,0,ilmessaggeroit,-1
41,2021-11-19 14:47:12,"Friuli verso la zona gialla, Fedriga: «Inevitabile con questi dati. Controlliamo Green pass ai confini» https://t.co/roAr5VsYAQ",1,2,ilmessaggeroit,-1
42,2021-11-19 08:48:39,"Green pass, limiti ai No-vax: l'ipotesi dei divieti per ristoranti, bar e cinema https://t.co/kPcRemVvFD",0,1,ilmessaggeroit,-1
43,2021-11-18 23:01:02,"Green pass, durata ridotta a 9 mesi. Terza dose per over 40 da lunedì https://t.co/QDHIDq7J1c",3,1,ilmessaggeroit,-1
