Dataset,FC mean,FC median,RC mean,RC median,FC std,RC std
ds1,"21,39","7,00","6,70","3,00","43,68","10,14"
ds2,"22,36","6,00","7,83","3,00","61,61","19,86"
ds3,"19,13","7,00","6,42","3,00","46,69","17,94"
ds4,"19,17","7,00","6,21","3,00","40,63","10,96"
ds5,"14,73","7,00","5,89","3,00","36,93","20,91"
ds6,"22,88","7,00","7,95","3,00","67,99","25,65"
ds7,"22,59","7,00","7,68","3,00","67,04","28,11"
