Dataset,FC mean,FC median,RC mean,RC median,FC std,RC std
ds1,"36,75","12,50","8,70","4,50","93,62","16,28"
ds2,"19,45","10,00","5,33","3,00","27,36","5,62"
ds3,"72,54","13,00","21,21","4,00","261,44","85,55"
ds4,"19,69","7,00","6,48","3,00","32,30","9,24"
ds5,"41,76","11,00","8,80","3,00","151,94","27,47"
ds6,"35,10","10,50","7,78","3,00","70,05","14,61"
ds7,"20,95","7,00","5,50","3,00","44,75","9,53"
